barcode,first_type,second_type,celltype1,celltype2,x,y,prop1,prop2
embryo1_Pos5_cell36_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,-0.238229938,-1.587844666,1,0
embryo1_Pos5_cell362_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.281525845,-1.618286458,1,0
embryo1_Pos5_cell362_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.265585539,-1.785038064,1,0
embryo1_Pos5_cell363_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.291093199,-1.5543644,1,0
embryo1_Pos5_cell365_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.283078183,-1.513142489,1,0
embryo1_Pos5_cell366_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.296940101,-1.697084466,1,0
embryo1_Pos5_cell366_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.284919294,-1.557110888,1,0
embryo1_Pos5_cell367_z2,15,0,Neural-crest,Cranial-mesoderm,0.31692986,-2.065879271,1,0
embryo1_Pos5_cell368_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.278559222,-1.652788219,1,0
embryo1_Pos5_cell368_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.282095047,-1.731239059,1,0
embryo1_Pos5_cell369_z2,18,18,Surface-ectoderm,Surface-ectoderm,0.293092752,-2.39556974,1,0
embryo1_Pos5_cell369_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.284201025,-1.622087677,1,0
embryo1_Pos5_cell37_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,-0.251206415,-1.942902071,1,0
embryo1_Pos5_cell37_z5,14,5,Forebrain-Midbrain-Hindbrain,Spinal-cord,-0.254412502,-2.146102075,1,0
embryo1_Pos5_cell371_z2,18,18,Surface-ectoderm,Surface-ectoderm,0.30141117,-2.310876649,1,0
embryo1_Pos5_cell371_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.273919279,-1.759458062,1,0
embryo1_Pos5_cell372_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.315413564,-1.791032121,1,0
embryo1_Pos5_cell374_z2,18,20,Surface-ectoderm,Intermediate-mesoderm,0.306859604,-2.429791791,1,0
embryo1_Pos5_cell374_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.297112967,-1.792120177,1,0
embryo1_Pos5_cell375_z2,18,18,Surface-ectoderm,Surface-ectoderm,0.308218362,-2.358084134,1,0
embryo1_Pos5_cell375_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.310064784,-1.662972449,1,0
embryo1_Pos5_cell377_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.297752556,-1.598197713,1,0
embryo1_Pos5_cell377_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.312134735,-1.770665963,1,0
embryo1_Pos5_cell379_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.319171007,-1.67270447,1,0
embryo1_Pos5_cell379_z5,14,16,Forebrain-Midbrain-Hindbrain,Haematoendothelial-progenitors,0.315408566,-1.716722926,1,0
embryo1_Pos5_cell38_z2,14,5,Forebrain-Midbrain-Hindbrain,Spinal-cord,-0.251482321,-2.147103298,1,0
embryo1_Pos5_cell38_z5,14,5,Forebrain-Midbrain-Hindbrain,Spinal-cord,-0.258259856,-1.883147019,1,0
embryo1_Pos5_cell380_z2,18,15,Surface-ectoderm,Neural-crest,0.309580693,-2.270441933,1,0
embryo1_Pos5_cell381_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.322037425,-1.53026901,1,0
embryo1_Pos5_cell382_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.319804147,-1.630042347,1,0
embryo1_Pos5_cell382_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.321876415,-1.616980157,1,0
embryo1_Pos5_cell383_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.32030427,-1.583257092,1,0
embryo1_Pos5_cell383_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.339863519,-1.573190007,1,0
embryo1_Pos5_cell384_z2,18,15,Surface-ectoderm,Neural-crest,0.327377134,-2.184621673,1,0
embryo1_Pos5_cell384_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.337010129,-1.506793859,1,0
embryo1_Pos5_cell385_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.325429429,-1.520947357,1,0
embryo1_Pos5_cell385_z5,14,10,Forebrain-Midbrain-Hindbrain,Endothelium,0.339901684,-1.821307438,1,0
embryo1_Pos5_cell386_z2,18,15,Surface-ectoderm,Neural-crest,0.333085624,-2.223069901,1,0
embryo1_Pos5_cell388_z2,15,3,Neural-crest,Low-quality,0.332942302,-1.956527524,1,0
embryo1_Pos5_cell388_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.34955481,-1.64319021,1,0
embryo1_Pos5_cell389_z2,14,16,Forebrain-Midbrain-Hindbrain,Haematoendothelial-progenitors,0.334562212,-1.752360265,1,0
embryo1_Pos5_cell39_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,-0.260503177,-1.650093532,1,0
embryo1_Pos5_cell39_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,-0.246050381,-1.686583929,1,0
embryo1_Pos5_cell391_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.359646376,-1.611496456,1,0
embryo1_Pos5_cell392_z2,15,10,Neural-crest,Endothelium,0.345292794,-1.92235234,1,0
embryo1_Pos5_cell392_z5,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.372993944,-1.537718126,1,0
embryo1_Pos5_cell393_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.350579284,-1.567366053,1,0
embryo1_Pos5_cell393_z5,15,15,Neural-crest,Neural-crest,0.376644994,-1.933940108,1,0
embryo1_Pos5_cell395_z5,14,15,Forebrain-Midbrain-Hindbrain,Neural-crest,0.388204325,-1.649616661,1,0
embryo1_Pos5_cell396_z5,14,3,Forebrain-Midbrain-Hindbrain,Low-quality,0.402238523,-1.507547074,1,0
embryo1_Pos5_cell397_z5,14,15,Forebrain-Midbrain-Hindbrain,Neural-crest,0.395644801,-1.60556153,1,0
embryo1_Pos5_cell398_z2,14,14,Forebrain-Midbrain-Hindbrain,Forebrain-Midbrain-Hindbrain,0.360170904,-1.622340541,1,0
embryo1_Pos5_cell398_z5,3,15,Low-quality,Neural-crest,0.417246257,-1.836209091,1,0
embryo1_Pos5_cell4_z2,14,3,Forebrain-Midbrain-Hindbrain,Low-quality,-0.274171483,-2.379375925,1,0
embryo1_Pos5_cell4_z5,14,3,Forebrain-Midbrain-Hindbrain,Low-quality,-0.291411746,-2.328731359,1,0
